source	heading	target
# Not listed item by item: 01-critical-rendering-path.run1.md (superseded), 01-critical-rendering-path.run2.md (byte-identical to 01-critical-rendering-path.md), and 08-v8-batch-01.md to 08-v8-batch-08.md (merged into 09-v8-consolidated.md).
# "(unchecked)": no fact-check report exists for that notes file (08-v8-index.md, 16-explore-fast-index.md, 18-skills-survey-*.md). "late check": the item was checked after its rule was written.
# "unmapped": no reference file took the item; "unmapped: handed to <file>": one writer passed it to that file, and no rule there covers it. Replace either with a rule ID or "dropped: <reason>".
# "-> <file>" with no rule ID: the item feeds a file without rules (pipeline.md, measure.md, review.md, support.md, SKILL.md).
05-css-rendering.md	Animate only properties that the compositor can run	CSS-01, CSS-03; §0 summarizes the property groups
05-css-rendering.md	Rewrite geometry animations as transform animations (FLIP, scaleX progress bars)	CSS-01
05-css-rendering.md	Fade a pre-blurred layer instead of animating the blur radius	CSS-02 (verify/05 corrected the WebKit sentence; Chromium part kept)
05-css-rendering.md	Keep a composited animation eligible: avoid the known fallback conditions	CSS-03
05-css-rendering.md	Do not rely on composited background-color or clip-path animations across browsers	CSS-03, CSS-02 (verify/05 corrected: any shape() arc and paint-time color changes also fall back; versions in support-parts)
05-css-rendering.md	Use CSS animations or WAAPI, not per-frame style writes, and do not animate custom properties on hot paths	CSS-16, CSS-03
05-css-rendering.md	Drive scroll-linked effects with scroll-driven animations of composited properties	CSS-19
05-css-rendering.md	Keep view transitions small: short update callback, few named elements	CSS-20 (the unsourced "old view stays visible for a few frames" claim left out, per verify/05)
05-css-rendering.md	Remove non-essential motion for users who ask for reduced motion	CSS-21
05-css-rendering.md	Promote only elements that will animate, only while they animate	CSS-05
05-css-rendering.md	Prevent layer explosion from overlap (implicit compositing)	CSS-06
05-css-rendering.md	Know which CSS creates a compositing layer, and do not add one by accident	CSS-06, CSS-05
05-css-rendering.md	Do not keep `will-change: transform` on content you zoom by script if it must stay sharp	CSS-05 (Avoid; verify/05 detail on raster scale)
